Age,Income,Degree,GPA,Research publication,class
24,80000,1,3.35,0,yes
24,80000,1,3.4,1,yes
27,80000,1,3.3,1,no
27,80000,0,3.16,0,yes
27,45000,0,2.09,1,no
26,45000,1,3.45,1,yes
27,80000,1,3.33,1,no
26,80000,0,2.56,0,yes
25,45000,1,3.54,1,no
26,80000,1,3.31,1,yes
29,80000,1,3.72,1,no
25,45000,0,3.16,1,no
25,80000,0,2.98,0,no
26,80000,0,2.75,0,no
25,80000,0,3.2,1,no
26,80000,0,2.3,0,no
29,45000,1,3.43,1,yes
27,45000,0,3.5,1,no
27,80000,0,3.7,1,yes
25,45000,1,3.4,1,no
28,45000,0,3.17,1,yes
27,45000,1,3.35,1,no
